2017-09-07 03:16:56 => UserID : 34502 ; Message : UnlockAccount :: Unlock_Account_Login ; TrStatus : check user account is locked - NOT LOCKED ; SessionId : wt5zwzsujaue35tmlomtljdw ; 
2017-09-07 03:18:14 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : k0q1go0otudrbkansyz5x5n2 ; 
2017-09-07 03:18:14 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : k0q1go0otudrbkansyz5x5n2 ; 
2017-09-07 03:19:32 => UserID : M12955 ; Message : ResetAndUnlock ; TrStatus : Object reference not set to an instance of an object. ; SessionId : k0q1go0otudrbkansyz5x5n2 ; 
2017-09-07 03:19:56 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Failure ; SessionId : k0q1go0otudrbkansyz5x5n2 ; 
2017-09-07 03:26:21 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : s4wba31m3ejrqi5bvts23uj1 ; 
2017-09-07 03:26:21 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : s4wba31m3ejrqi5bvts23uj1 ; 
2017-09-07 03:27:56 => UserID : M12955 ; Message : ResetAndUnlock ; TrStatus : Object reference not set to an instance of an object. ; SessionId : s4wba31m3ejrqi5bvts23uj1 ; 
2017-09-07 03:28:02 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Failure ; SessionId : s4wba31m3ejrqi5bvts23uj1 ; 
2017-09-07 03:40:00 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : r5xwyzvj4icxqx4pgygrkb0c ; 
2017-09-07 03:40:00 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user exist - success ; SessionId : r5xwyzvj4icxqx4pgygrkb0c ; 
