2017-01-05 11:55:52 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 11:55:53 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 11:56:10 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 11:56:10 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 11:56:10 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 11:57:53 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 12:02:26 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 12:08:02 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 12:09:04 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 12:09:19 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 12:09:19 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 12:10:23 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : RESEND :: OTP sent , now redirecting to RegisterUserInformation ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 12:10:23 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 12:11:26 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : RESEND :: OTP sent , now redirecting to RegisterUserInformation ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 12:11:26 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 12:12:47 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 12:16:49 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 12:17:23 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 12:18:06 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 12:18:13 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 12:32:57 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 12:33:31 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 12:34:08 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 12:34:08 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 12:36:37 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 12:37:24 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 12:39:17 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 12:39:19 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 12:39:20 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 12:53:43 => UserID : 3 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 12:53:43 => UserID : 3 ; Message : ResetPassword :: Reset_Password_Login ; TrStatus : check user exist - failure ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 01:02:29 => UserID : 34338 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 01:02:29 => UserID : 34338 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 01:02:29 => UserID : 34338 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 01:04:24 => UserID : 34338 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 01:04:24 => UserID : 34338 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User NOT Registered For OTP ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 01:04:24 => UserID : 34338 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:19:59 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
2017-01-05 02:19:59 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : rtwedczbmkkm5d2qaqntslxm ; 
