2017-09-13 10:49:35 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 052sitlguoop0vinucoqdkwx ; 
2017-09-13 10:50:37 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : a2i0d5yw1dc0qbid3vt4sneg ; 
2017-09-13 10:52:53 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : a2i0d5yw1dc0qbid3vt4sneg ; 
2017-09-13 10:52:58 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : a2i0d5yw1dc0qbid3vt4sneg ; 
2017-09-13 10:53:25 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : a2i0d5yw1dc0qbid3vt4sneg ; 
2017-09-13 10:54:05 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : a2i0d5yw1dc0qbid3vt4sneg ; 
2017-09-13 10:54:52 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : a2i0d5yw1dc0qbid3vt4sneg ; 
2017-09-13 10:54:57 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : a2i0d5yw1dc0qbid3vt4sneg ; 
2017-09-13 10:55:10 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : a2i0d5yw1dc0qbid3vt4sneg ; 
2017-09-13 11:09:54 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : a2i0d5yw1dc0qbid3vt4sneg ; 
2017-09-13 11:10:42 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : lxhsh5cgiy0emzoo5xxoiqoq ; 
2017-09-13 11:11:55 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : lxhsh5cgiy0emzoo5xxoiqoq ; 
2017-09-13 11:12:26 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : lxhsh5cgiy0emzoo5xxoiqoq ; 
2017-09-13 11:12:30 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : lxhsh5cgiy0emzoo5xxoiqoq ; 
2017-09-13 11:19:31 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : lxhsh5cgiy0emzoo5xxoiqoq ; 
2017-09-13 11:22:20 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 4mexvcq0lcyvtpev3ptvetma ; 
2017-09-13 11:23:03 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 4mexvcq0lcyvtpev3ptvetma ; 
2017-09-13 11:24:23 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 4mexvcq0lcyvtpev3ptvetma ; 
2017-09-13 11:24:51 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 4mexvcq0lcyvtpev3ptvetma ; 
2017-09-13 11:25:22 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 4mexvcq0lcyvtpev3ptvetma ; 
2017-09-13 11:27:53 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 4mexvcq0lcyvtpev3ptvetma ; 
2017-09-13 11:28:24 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 4mexvcq0lcyvtpev3ptvetma ; 
2017-09-13 11:31:44 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 4mexvcq0lcyvtpev3ptvetma ; 
2017-09-13 11:33:48 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 4mexvcq0lcyvtpev3ptvetma ; 
2017-09-13 11:35:21 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 4mexvcq0lcyvtpev3ptvetma ; 
2017-09-13 11:35:38 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 4mexvcq0lcyvtpev3ptvetma ; 
2017-09-13 11:37:01 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : wsu1rqk3w5zgex3wgfydn4db ; 
2017-09-13 11:47:49 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : vrn2nrnt0rtbejotpu0mpnwn ; 
2017-09-13 11:48:17 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : vrn2nrnt0rtbejotpu0mpnwn ; 
2017-09-13 11:48:27 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : vrn2nrnt0rtbejotpu0mpnwn ; 
2017-09-13 11:48:55 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : s1ltxrjqdlmpx5x0a3gjn3mv ; 
2017-09-13 11:49:51 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : jjgdlx3pxeskjihphlhyhxqi ; 
2017-09-13 11:50:38 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : jjgdlx3pxeskjihphlhyhxqi ; 
2017-09-13 11:51:09 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : jjgdlx3pxeskjihphlhyhxqi ; 
2017-09-13 11:52:15 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : jjgdlx3pxeskjihphlhyhxqi ; 
2017-09-13 11:52:27 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : jjgdlx3pxeskjihphlhyhxqi ; 
2017-09-13 11:52:36 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : jjgdlx3pxeskjihphlhyhxqi ; 
2017-09-13 11:53:56 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : x4v5vhvqvr43b22m1klbao01 ; 
2017-09-13 11:54:04 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : x4v5vhvqvr43b22m1klbao01 ; 
2017-09-13 11:58:42 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : x4v5vhvqvr43b22m1klbao01 ; 
2017-09-13 11:59:08 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : x4v5vhvqvr43b22m1klbao01 ; 
2017-09-13 12:00:08 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : x4v5vhvqvr43b22m1klbao01 ; 
2017-09-13 12:00:22 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : x4v5vhvqvr43b22m1klbao01 ; 
2017-09-13 12:01:22 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : x4v5vhvqvr43b22m1klbao01 ; 
2017-09-13 12:03:38 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : x4v5vhvqvr43b22m1klbao01 ; 
2017-09-13 12:03:46 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : x4v5vhvqvr43b22m1klbao01 ; 
2017-09-13 12:04:10 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : x4v5vhvqvr43b22m1klbao01 ; 
2017-09-13 12:05:01 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : x4v5vhvqvr43b22m1klbao01 ; 
2017-09-13 12:06:04 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : pzztmy1dazs5bddyg1dm5kax ; 
2017-09-13 12:06:21 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : pzztmy1dazs5bddyg1dm5kax ; 
2017-09-13 12:07:45 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : pzztmy1dazs5bddyg1dm5kax ; 
2017-09-13 12:08:29 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : pzztmy1dazs5bddyg1dm5kax ; 
2017-09-13 12:08:45 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : pzztmy1dazs5bddyg1dm5kax ; 
2017-09-13 12:12:55 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : shu5ldfqs3z45stdlt23h0dl ; 
2017-09-13 12:13:28 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 32t2t2hpdakvnfrquzgh5tq1 ; 
2017-09-13 12:13:38 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 32t2t2hpdakvnfrquzgh5tq1 ; 
2017-09-13 12:13:56 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 3h3qchqjb02sfojq2vvjbrrh ; 
2017-09-13 12:14:37 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : gj4uahlv43ixa5llvcmxhuzm ; 
2017-09-13 12:15:07 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : gj4uahlv43ixa5llvcmxhuzm ; 
2017-09-13 12:15:16 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : gj4uahlv43ixa5llvcmxhuzm ; 
2017-09-13 12:15:24 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : gj4uahlv43ixa5llvcmxhuzm ; 
