2017-08-09 09:48:52 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : gwm3gd0p3c1pqs31tuufeb0d ; 
2017-08-09 09:48:52 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - entry ; SessionId : gwm3gd0p3c1pqs31tuufeb0d ; 
2017-08-09 09:48:52 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - success ; SessionId : gwm3gd0p3c1pqs31tuufeb0d ; 
2017-08-09 09:48:52 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : gwm3gd0p3c1pqs31tuufeb0d ; 
2017-08-09 09:48:52 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : gwm3gd0p3c1pqs31tuufeb0d ; 
2017-08-09 09:48:52 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : gwm3gd0p3c1pqs31tuufeb0d ; 
2017-08-09 09:48:53 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : gwm3gd0p3c1pqs31tuufeb0d ; 
2017-08-09 09:48:53 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthType ; TrStatus : Page load ; SessionId : gwm3gd0p3c1pqs31tuufeb0d ; 
2017-08-09 09:50:18 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthSecQue ; TrStatus : Page load , now redirecting to ResetPasswordQuestions ; SessionId : gwm3gd0p3c1pqs31tuufeb0d ; 
2017-08-09 09:50:18 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Reset Password Questions page load ; SessionId : gwm3gd0p3c1pqs31tuufeb0d ; 
2017-08-09 09:50:23 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Reset Password Questions submit ; SessionId : gwm3gd0p3c1pqs31tuufeb0d ; 
2017-08-09 09:50:25 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Valid answer, now redirecting to Reset page ; SessionId : gwm3gd0p3c1pqs31tuufeb0d ; 
2017-08-09 09:50:26 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : Reset Password page load ; SessionId : gwm3gd0p3c1pqs31tuufeb0d ; 
2017-08-09 09:51:07 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : STARTED ; SessionId : gwm3gd0p3c1pqs31tuufeb0d ; 
2017-08-09 09:51:39 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : FAILURE ; SessionId : gwm3gd0p3c1pqs31tuufeb0d ; 
2017-08-09 09:51:40 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : Reset Password page load ; SessionId : gwm3gd0p3c1pqs31tuufeb0d ; 
