2017-07-31 10:31:32 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : Reset Password page load ; SessionId : qc241dlfe2ayn4cxhxew4xv1 ; 
2017-07-31 10:32:26 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : STARTED ; SessionId : qc241dlfe2ayn4cxhxew4xv1 ; 
2017-07-31 10:32:26 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : FAILURE ; SessionId : qc241dlfe2ayn4cxhxew4xv1 ; 
2017-07-31 10:32:56 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password ; TrStatus : Reset Password page load ; SessionId : qc241dlfe2ayn4cxhxew4xv1 ; 
2017-07-31 10:33:19 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : Submit - check user exist - entry ; SessionId : mssa0skllrxr5vsrvccvh1cq ; 
2017-07-31 10:33:19 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user exist - success ; SessionId : mssa0skllrxr5vsrvccvh1cq ; 
2017-07-31 10:33:19 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - entry ; SessionId : mssa0skllrxr5vsrvccvh1cq ; 
2017-07-31 10:33:20 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account is locked - failure ; SessionId : mssa0skllrxr5vsrvccvh1cq ; 
2017-07-31 10:33:20 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - entry ; SessionId : mssa0skllrxr5vsrvccvh1cq ; 
2017-07-31 10:33:20 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user registered - success ; SessionId : mssa0skllrxr5vsrvccvh1cq ; 
2017-07-31 10:33:20 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - entry ; SessionId : mssa0skllrxr5vsrvccvh1cq ; 
2017-07-31 10:33:20 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user account lock in ART tool - account is not locked ; SessionId : mssa0skllrxr5vsrvccvh1cq ; 
2017-07-31 10:33:20 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - entry ; SessionId : mssa0skllrxr5vsrvccvh1cq ; 
2017-07-31 10:33:22 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_Login ; TrStatus : check user OTP enabled - OTP enabled - for both user and application level , now redirecting to ResetPasswordAuthType ; SessionId : mssa0skllrxr5vsrvccvh1cq ; 
2017-07-31 10:33:22 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthType ; TrStatus : Page load ; SessionId : mssa0skllrxr5vsrvccvh1cq ; 
2017-07-31 10:33:24 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_AuthSecQue ; TrStatus : Page load , now redirecting to ResetPasswordQuestions ; SessionId : mssa0skllrxr5vsrvccvh1cq ; 
2017-07-31 10:33:24 => UserID : 34501 ; Message : ForgotPassword :: Forgot_Password_QA ; TrStatus : Reset Password Questions page load ; SessionId : mssa0skllrxr5vsrvccvh1cq ; 
